region,region_id,start_date,end_date,glacier_change_observed,glacier_change_uncertainty,unit,glacier_area_reference,glacier_area_observed,remarks
Svalbard and Jan Mayen,7,01/10/2000,01/10/2001,-0.7151,0.081,m,33958,33214,
Svalbard and Jan Mayen,7,01/10/2001,01/10/2002,-0.5185,0.0809,m,33958,33215,
Svalbard and Jan Mayen,7,01/10/2002,01/10/2003,-0.7129,0.0808,m,33958,33216,
Svalbard and Jan Mayen,7,01/10/2003,01/10/2004,-0.8784,0.0807,m,33958,33217,
Svalbard and Jan Mayen,7,01/10/2004,01/10/2005,-0.7167,0.0805,m,33958,33218,
Svalbard and Jan Mayen,7,01/10/2005,01/10/2006,-0.4494,0.0804,m,33958,33219,
Svalbard and Jan Mayen,7,01/10/2006,01/10/2007,-0.3761,0.0803,m,33958,33220,
Svalbard and Jan Mayen,7,01/10/2007,01/10/2008,-0.0273,0.0801,m,33958,33221,
Svalbard and Jan Mayen,7,01/10/2008,01/10/2009,-0.3975,0.0801,m,33958,33222,
Svalbard and Jan Mayen,7,01/10/2009,01/10/2010,-0.2488,0.0799,m,33958,33223,
Svalbard and Jan Mayen,7,01/10/2010,01/10/2011,-0.9355,0.0798,m,33958,33224,
Svalbard and Jan Mayen,7,01/10/2011,01/10/2012,-0.3266,0.0797,m,33958,33225,
Svalbard and Jan Mayen,7,01/10/2012,01/10/2013,-1.1127,0.0796,m,33958,33226,
Svalbard and Jan Mayen,7,01/10/2013,01/10/2014,-0.0956,0.0794,m,33958,33227,
Svalbard and Jan Mayen,7,01/10/2014,01/10/2015,-0.6915,0.0793,m,33958,33228,
Svalbard and Jan Mayen,7,01/10/2015,01/10/2016,-1.2806,0.0792,m,33958,33229,
